id,letter,word,type,etymology,definition,added_at
A0010,A,"ABAISSEUR, ABAISSEUSE",adjectif,Étymologie : xvie siècle. Dérivé d’abaisser.,"Qui sert à abaisser.
Spécialement. Marque de domaine : anatomie.
Muscle abaisseur, qui permet de faire descendre certaines parties du corps.
Les muscles abaisseurs ont pour antagonistes les muscles élévateurs.
Le muscle abaisseur de l’œil ou, elliptiquement et substantivement, l’abaisseur de l’œil.",2026-06-04T03:59:08.551Z
A0012,A,ABANDON,nom masculin,"Étymologie : xiie siècle, mais probablement antérieur. Tiré de l’ancien français mettre, laissier a bandon, « livrer, laisser au pouvoir de », formé à l’aide de bandon, « pouvoir, autorité », dérivé de l’ancien francique *ban, qui désigne une loi dont la non-observance entraîne une peine, lui-même issu de la racine indo-européenne *fa, « parler ».","1. 
Le fait de laisser ou de mettre quelque chose à la disposition, à la discrétion d’autrui.
L’abandon d’un bien immobilier à son ex-conjoint, à titre de prestation compensatoire.
Faire abandon d’une terre à un voisin.
▪ Par extension.
Le fait d’exposer, de livrer une chose, une personne au pouvoir de quelqu’un, de quelque chose.
L’abandon d’une place à l’ennemi.
L’abandon d’une population à l’envahisseur.


2. 
Le fait de renoncer à quelque chose définitivement, de mettre fin à une pratique, à une action, etc.
L’abandon d’un projet, d’une stratégie militaire, d’une procédure judiciaire.
La police a annoncé l’abandon des recherches.
Il regrettera l’abandon de ses études.
▪ Spécialement. Marque de domaine : sports.
Action d’interrompre sa participation à une compétition.
Sa blessure l’a contraint à l’abandon.
Les températures caniculaires entraînèrent l’abandon de nombreux coureurs.
Perdre par abandon.


3. 
Le fait de quitter un lieu où l’on devrait se trouver.
L’abandon du domicile conjugal peut être un motif de divorce.
Abandon de poste.

4. 
Le fait de se séparer d’un être dont on a la charge, de le laisser sans secours ni assistance.
L’abandon d’un nourrisson sur les marches d’une église.
Par métonymie.
État d’un être livré à lui-même, laissé sans soin.
Éprouver un sentiment d’abandon.
Ce vieillard vit dans le plus complet abandon.
Par analogie.
Son jardin est dans un déplorable abandon.
▪ Spécialement. Marque de domaine : droit.
Abandon de famille, délit par lequel on se soustrait à certaines obligations envers ses enfants, son conjoint ou ses ascendants.
L’abandon de famille est passible de la réclusion criminelle.

▪ Loc.
À l’abandon, sans soin, sans protection.
Des chevaux laissés à l’abandon.
Par analogie.
Une grange à l’abandon.

▪ Par extension.
Action de se défaire d’une chose, pour toujours ou temporairement.
L’abandon d’un véhicule sur la voie publique.


5. 
Le fait de se laisser aller sans contrainte ; l’état qui en résulte.
Un élan d’abandon.
Une pose pleine d’abandon.
Parler avec abandon, avec confiance.
Un délicieux abandon.",2026-06-04T03:59:08.658Z
A0013,A,"ABANDONNÉ, ABANDONNÉE",adjectif,Étymologie : xiiie siècle. Tiré du participe passé d’abandonner.,"1. 
Auquel on a renoncé ; qui n’est plus utilisé.
Un mot, un usage abandonné.
Un sentier abandonné.

2. 
Se dit d’un être dont on avait la charge et dont on s’est séparé, qu’on a laissé sans secours ni assistance.
Un enfant abandonné.
Un chien abandonné.
Par analogie.
Une vieille maison abandonnée.
▪ Par extension.
Se dit d’une chose dont on s’est défait, pour toujours ou temporairement.
Un vélo abandonné dans la rue.


3. 
Qui se laisse aller sans contrainte.
Il reposait sur son lit, abandonné.
Par métonymie.
Il avait la tête abandonnée sur l’épaule de sa bien-aimée.
Une pose abandonnée.",2026-06-04T03:54:25.895Z
A0014,A,ABANDONNEMENT,nom masculin,Étymologie : xiiie siècle. Dérivé d’abandonner.,"1. 
État d’une personne abandonnée.
Elle souffre moins de sa misère que de son abandonnement.

2. 
Le fait de se laisser aller sans contrainte.
Il était sensible au charme de ses abandonnements.",2026-06-04T03:59:08.725Z
A0015,A,ABANDONNER,verbe transitif direct et verbe pronominal,Étymologie : xie siècle. Dérivé d’abandon.,"1. 
Laisser ou mettre quelque chose à la disposition, à la discrétion d’autrui.
Abandonner son héritage à une association.
Abandonner un droit.
Abandonner tous ses biens à ses créanciers.
Abandonner à un notaire la gestion de sa fortune.
Nous avons abandonné cette pièce aux enfants.
▪ Par extension.
Exposer, livrer une chose, une personne au pouvoir de quelqu’un, de quelque chose.
Abandonner une ville aux pillards, au pillage.
Abandonner une barque au courant.
Abandonner son esprit à la rêverie.
Abandonner quelqu’un à son triste sort.
Fig.
Abandonner son âme à Dieu, la lui confier sans réserve.


2. 
Renoncer à quelque chose définitivement, mettre fin à une pratique, à une action, etc.
Abandonner le pouvoir.
Abandonner une charge.
Il a fini par abandonner ses poursuites.
Abandonner le cinéma pour le théâtre.
Ce genre d’article ne se vend plus, nous en avons abandonné la fabrication.
N’abandonnez pas le combat !
Il veut tout abandonner.
Absolument.
Sans résultat tangible, nous abandonnerons.
Ce coureur cycliste a abandonné avant le col.
▪ Expr.
Abandonner la partie, convenir que l’on a perdu dans une compétition, un affrontement et, par extension, renoncer à sa participation à une entreprise.


3. 
Quitter un lieu où l’on devrait se trouver.
Abandonner son poste.
▪ Fig.
En parlant d’une faculté, d’une disposition d’esprit.
Ses forces l’abandonnent.
Tout son courage, tout espoir l’a abandonné.
Son désir de vengeance l’abandonna soudain.


4. 
Se séparer d’un être dont on a la charge, le laisser sans secours ni assistance.
Quasimodo fut abandonné sur le parvis de Notre-Dame.
Ils ont abandonné leur chien au bord d’une route.
Abandonner ses parents dans la misère.
Il s’est senti abandonné quand sa femme l’a quitté.
Par exagération.
Il est tard, je dois vous abandonner.
▪ Par extension.
Se défaire d’une chose, pour toujours ou temporairement.
Abandonner une voiture dans un terrain vague.
Lors de la mue, les serpents abandonnent leur dépouille.
Abandonner son livre sur la table.


5. 
Lâcher, laisser aller ce qu’on tenait ou retenait.
Abandonner les rames et se laisser dériver.
Le complément d’objet désigne une partie du corps.
Abandonner sa main dans celle d’un ami, sa tête sur l’épaule de son amoureux.
▪ Expr. fig.
Abandonner les rênes de quelque chose, renoncer à le diriger.
Il a abandonné les rênes de l’État, de l’entreprise familiale.",2026-06-04T03:59:08.896Z
A0016,A,ABAQUE,nom masculin,"Étymologie : xiie siècle. Emprunté du latin abacus, « tablette », lui-même tiré du grec abax, abakos, « table à calcul ; table de jeu ».","1. 
Marque de domaine : Antiquité.
Plateau couvert de sable où l’on traçait des lettres, des nombres, des figures ; tablette où figuraient des lignes ou des colonnes, sur laquelle on posait des jetons afin de faire des calculs.

2. 
Cadre portant des tringles sur lesquelles des boules sont enfilées, et qui sert à calculer (on dit plutôt Boulier).

3. 
Marque de domaine : mathématiques.
Représentation graphique d’une famille de courbes, utilisée pour connaître, par simple lecture, la valeur approchée des solutions de certaines équations.
L’abaque est utilisé en physique, en chimie, en astronomie.

4. 
Marque de domaine : architecture.
Partie supérieure d’un chapiteau de colonne, qui peut être surmontée d’un tailloir ou supporter directement l’architrave.
Abaque carré, circulaire.
Abaque à cornes.
▪ S’emploie aussi au sens de Tailloir.",2026-06-04T03:59:08.953Z
A0018,A,ABASOURDIR,verbe transitif direct,"Étymologie : xviie siècle. Dérivé de basourdir, « tuer », altération de basir, de même sens, dans l’argot des coquillards.","■ 
Étourdir par un grand bruit.
Ce vacarme, ces criailleries perpétuelles nous abasourdissent.
▪ Surtout fig.
Frapper de stupeur.
Il a été abasourdi de sa disgrâce.
Au participe passé, adjectivement.
La nouvelle l’a laissé tout abasourdi.",2026-06-04T03:59:09.083Z
A0020,A,ABAT,nom masculin,Étymologie : xve siècle. Déverbal d’abattre.,"1. 
Au pluriel.
Désigne les morceaux d’un animal de boucherie qui ne sont pas de la chair mais sont comestibles.
Les rognons, le foie, la langue, la cervelle, le cœur, les ris de veau et les tripes sont des abats.
Les abats de volaille sont aussi appelés « abattis ».

2. 
Fait de s’abattre.
S’emploie seulement, dans certaines régions de l’Ouest de la France et au Québec, dans les locutions Pluie d’abat, Abat d’eau, pour désigner une averse violente.",2026-06-04T03:59:09.177Z
A0029,A,ABATTEMENT,nom masculin,"Étymologie : xiie siècle, au sens d’« action d’abattre, de renverser » ; xiiie siècle, au sens de « diminution d’une somme, rabais » ; xviie siècle, au sens d’« affaiblissement des forces, du courage ». Dérivé d’abattre.","1. 
Défaillance des forces physiques ou morales.
La chaleur le plonge dans l’abattement.
Cette mauvaise nouvelle l’a jeté dans l’abattement.
Les périodes d’euphorie succédaient aux périodes d’abattement.

2. 
Déduction faite sur une somme à payer.
Obtenir un abattement sur sa facture d’eau, d’électricité.
▪ Spécialement. Marque de domaine : fiscalité.
Abattement à la base ou, elliptiquement, abattement, diminution de la base imposable d’un contribuable ; fraction de la base imposable ainsi exemptée de l’impôt.
Les abattements sont automatiquement appliqués par l’administration fiscale.
Un abattement de tant sur les droits de succession.",2026-06-04T03:59:09.380Z
A0031,A,ABATTIS,nom masculin,Étymologie : xiie siècle. Dérivé d’abattre.,"1. 
Vieilli.
Action d’abattre quelque chose ; ce qui est ainsi abattu.
On a fait dans cette forêt un grand abattis de chênes.
Ôter un abattis de pierres.
Par extension.
Cette bataille fut un grand abattis d’hommes.
▪ Spécialement. Marque de domaine : militaire.
Retranchement formé d’arbres que l’on a abattus pour faire obstacle à la progression de l’ennemi.

▪ Désigne aujourd’hui, au Québec, un terrain où les arbres ont été abattus mais non dessouchés et, en Guyane, une parcelle cultivée.


2. 
Au pluriel. Marque de domaine : cuisine.
Parties d’une volaille qu’on enlève avant de la préparer, qu’elles soient propres ou non à la consommation ; désigne plus particulièrement les abats.
Les abattis comprennent la tête, le cou, les ailerons, le foie, le gésier.
Un ragoût d’abattis.
▪ Fig.
Les bras et les jambes d’une personne.
Surtout dans l’expression Numéroter ses abattis, dont on use pour menacer plaisamment une personne d’une correction.
Tu peux numéroter tes abattis !",2026-06-04T03:46:29.585Z
A0039,A,ABBAYE,nom féminin,"Étymologie : xe siècle. Issu du latin chrétien abbatia, « charge d’abbé », lui-même dérivé de abbas, « père », comme titre honorifique, puis « abbé », pour les sens 1 et 2 ; probablement dérivé d’abbé, au sens ancien de « chef de confrérie », pour le sens 3.","1. 
Communauté de moines qui a pour supérieur un abbé, ou de moniales qui a pour supérieure une abbesse.
L’abbaye royale de Saint-Denis.
Fonder, réformer une abbaye.
Une abbaye cistercienne, bénédictine.
Une abbaye en commende, en règle.
▪ Par métonymie.
L’ensemble des bâtiments où vit cette communauté.
Le cloître de l’abbaye.
L’abbaye de Port-Royal des Champs fut rasée en 1713.

▪ Spécialement. Marque de domaine : histoire.
Abbaye princière, dans le Saint-Empire romain germanique, abbaye constituant un territoire ecclésiastique souverain, et dont l’abbé ou l’abbesse avait le titre de prince ou de princesse.
– Marque de domaine : littérature.
L’abbaye de Thélème, communauté laïque et mixte, imaginée par Rabelais, dont la seule règle est : « Fais ce que voudras. »



2. 
Anciennement.
Bénéfice attaché au titre d’abbé.
Certains prélats possédaient plusieurs abbayes.

3. 
En Suisse, société de tireurs et, par extension, concours de tir organisé par une telle société, qui donne lieu à une fête de village.
Les abbayes du canton de Vaud.",2026-06-04T03:59:09.613Z
A0048,A,"ABDOMINAL, ABDOMINALE",adjectif et nom masculin pluriel,Étymologie : xviie siècle. Dérivé d’abdomen.,"1. 
Marque de domaine : anatomie.
Qui se rapporte à l’abdomen.
Région abdominale.
Sangle abdominale, voir Sangle.
Des douleurs abdominales.

2. 
Marque de domaine : zoologie.
Relatif à l’abdomen des Arthropodes.
Segments abdominaux, anneaux formant l’abdomen de ces animaux.",2026-06-04T03:54:27.065Z
A0063,A,ABIÉTACÉES,nom féminin pluriel,"Étymologie : xixe siècle. Dérivé savant du latin abies, ‑etis, « sapin ».","Marque de domaine : botanique.
Synonyme de Pinacées.",2026-06-04T03:59:10.088Z
A0065,A,ABÎME,nom masculin,"Étymologie : xiie siècle. Issus du latin populaire *abismus, altération du latin chrétien abyssus, « profondeur de l’enfer, abîme », lui-même tiré du grec abussos, « ce qui est sans fond ».","1. 
Grande misère matérielle ou morale où l’on tombe.
Il court à l’abîme.
Elle est au bord de l’abîme.
Toucher le fond de l’abîme.
Expr. vieillie.
Creuser un abîme sous les pas de quelqu’un, travailler à le perdre.

2. 
Ce qui semble insondable, sans limites ; ce qui dépasse la compréhension, constitue une énigme, un mystère.
Un abîme de misère, de perplexité.
Se trouver face à un abîme de difficultés.
L’idée d’infini est un abîme pour l’esprit humain.

3. 
Ce qui sépare, divise profondément.
Il y a un abîme entre ces deux conceptions du monde.",2026-06-04T03:59:10.205Z
A0068,A,ABIOTIQUE,adjectif,"Étymologie : xixe siècle. Dérivé de biotique, avec le préfixe privatif a- [ii].","1. 
Marque de domaine : biologie.
Qui ne permet pas la vie.
Un milieu abiotique.

2. 
Marque de domaine : écologie.
Qui ne se rapporte pas aux êtres vivants.
Facteur abiotique, qui concerne les caractères physicochimiques d’un milieu.
La salinité, la température, la luminosité sont des facteurs abiotiques.",2026-06-04T03:59:10.314Z
A0076,A,ABLATION,nom féminin,"Étymologie : xive siècle. Emprunté du latin tardif ablatio, « action d’enlever », lui-même dérivé de ablatum, supin de auferre, « emporter, enlever ».","Action de retirer, de retrancher quelque chose ; le fait qu’une chose, une matière soit enlevée, disparaisse d’un tout.
Ne s’emploie que dans des domaines spécialisés.
Marque de domaine : chirurgie.
Intervention consistant à enlever une tumeur ou une partie du corps, un organe.
Ablation d’un kyste.
Ablation des amygdales, de la prostate.
– Marque de domaine : géologie.
Disparition d’une partie d’un relief, d’un névé, d’un glacier, provoquée selon les cas par l’érosion, par la fonte ou la sublimation de la glace, ou encore par le vêlage.",2026-06-04T03:59:10.522Z
A0084,A,ABOIEMENT,nom masculin,"Étymologie : xiiie siècle, abaiement, abeiement. Dérivé d’aboyer.","1. 
Cri du chien et d’autres canidés ; action d’aboyer.
On entendait les aboiements lointains de la meute.
L’aboiement du renard.
Par analogie.
L’aboiement du chevreuil.

2. 
Fig.
Parole prononcée d’une manière agressive, violente ; invective, menace.
Les aboiements d’un garde-chiourme.",2026-06-04T03:59:10.720Z
A0096,A,ABONDER,verbe intransitif et verbe transitif indirect et direct,"Étymologie : xiie siècle. Emprunté du latin abundare, « déborder ».","1. 
V. tr. indirect. Suivi de la préposition en.
Avoir en abondance une ressource, un bien.
La région abonde en vignobles.
La rivière abonde en truites et en brochets.
Abonder en richesses.
Ce pays abonde en vestiges romains.
Fig.
Cet ouvrage abonde en anecdotes piquantes.
▪ S’emploie aussi absolument dans l’expression Abonder dans le sens de quelqu’un, lui apporter des arguments qui renforcent son opinion, l’approuver entièrement.
J’abonde dans votre sens.


2. 
V. tr. direct. Marque de domaine : finance.
Alimenter un compte, un budget.
Abonder un fonds.
▪ Spécialement.
En parlant d’un employeur, verser une somme d’argent sur un plan d’épargne en complément de celles qui y sont placées par chacun des salariés.",2026-06-04T03:46:31.285Z
A0117,A,ABOUTIR,verbe transitif indirect et verbe intransitif,"Étymologie : xive siècle. Dérivé de bout, avec le préfixe a- [i].","1. 
Se terminer, mener en un lieu.
La route aboutit à la mer.
Pierre Paul de Riquet fit aboutir à Sète le canal du Midi.
L’escalier aboutit au grenier.
▪ Par extension. En parlant d’une personne.
Parvenir, arriver à un endroit déterminé.
En suivant cette route, vous aboutirez au carrefour.


2. 
Avoir pour résultat, pour conséquence.
La controverse a abouti à la plus grande confusion.
Cette affaire n’aboutit à rien.
Cela n’aboutira qu’à sa perte.",2026-06-04T04:01:30.619Z
A0122,A,ABOYER,verbe intransitif,"Étymologie : xiie siècle, abaier, puis aboier. Tiré du radical expressif bai‑ ou bau‑, imitant l’aboiement du chien.","1. 
En parlant du chien et d’autres canidés.
Pousser son cri.
Des chiens aboient dans la cour.
Les chacals aboyaient dans le désert.
En emploi transitif indirect.
Le berger allemand aboyait après les visiteurs.
Aboyer à la lune.
▪ Par analogie.
Les otaries mâles aboient pour défendre leur territoire.

▪ Prov.
Les chiens aboient, la caravane passe, il faut suivre son plan en dépit des critiques.
Chien qui aboie ne mord pas, ceux qui font le plus de bruit ne sont pas les plus redoutables.


2. 
Fig.
Parler d’une voix forte et agressive.
Il aboie plus qu’il ne parle.
En emploi transitif direct.
Aboyer un ordre, des consignes.
En emploi transitif indirect.
Tous aboyaient après lui.
Expr.
Aboyer aux chausses de quelqu’un, le harceler.",2026-06-04T04:01:30.815Z
A0134,A,ABREUVER,verbe transitif direct,"Étymologie : xiie siècle, abevrer. Issu du latin populaire *abbiberare, « faire ou mener boire », lui-même dérivé de bibere, « boire ».","1. 
Faire boire les chevaux, le bétail en mettant de l’eau à leur portée.
Abreuver les troupeaux.
Pron.
L’heure où les animaux viennent s’abreuver à la source, viennent y boire.
▪ Par extension.
Abreuver ses convives.


2. 
Imbiber en profondeur.
La pluie a abreuvé la terre.

3. 
Fig.
Donner à quelqu’un quelque chose en abondance, jusqu’à l’excès.
Elle l’a abreuvé de conseils, de recommandations.
Abreuver quelqu’un de coups, d’injures.
Pron.
Il s’abreuve de romans policiers.",2026-06-04T04:01:31.164Z
A0155,A,ABSCISSE,nom féminin,"Étymologie : xviiie siècle. Emprunté du latin abscissa, dans l’expression abscissa linea, « ligne coupée », lui-même issu du participe passé de abscindere, « couper ».","1. 
Nombre qui indique la position d’un point sur une droite graduée.
Déterminer l’abscisse du milieu d’un segment.

2. 
Celle des coordonnées qui est conventionnellement énoncée en premier, dans un repère cartésien.
Dans un repère du plan, l’abscisse, notée « x », désigne la coordonnée horizontale d’un point, l’ordonnée, notée « y », sa coordonnée verticale.
L’axe des abscisses.",2026-06-04T04:01:31.587Z
A0159,A,ABSENTÉISME,nom masculin,"Étymologie : xixe siècle. Emprunté de l’anglais absenteeism, de même sens, dérivé de absentee, « absent », tiré de to absent, « vivre hors de ses terres (en parlant des grands propriétaires) », lui-même emprunté de l’ancien français s’absenter, « s’éloigner ».","Attitude d’une personne qui, de manière répétée et non justifiée, est absente de son lieu de travail, de son école.
On constate dans cette entreprise un fort taux d’absentéisme.
L’absentéisme scolaire.",2026-06-04T04:01:31.698Z
A0164,A,ABSINTHE,nom féminin,"Étymologie : xiie siècle, absince. Emprunté, par l’intermédiaire du latin absinthium, du grec apsinthion, de même sens.","1. 
Marque de domaine : botanique.
Nom donné à deux espèces d’armoises aromatiques utilisées pour leurs vertus médicinales.
La grande absinthe ou absinthe officinale.
La petite absinthe est aussi appelée « armoise romaine ».
L’absinthe contient une molécule qui, à forte dose, provoque des convulsions et des hallucinations.

2. 
Par métonymie.
Boisson alcoolisée de couleur verte obtenue à partir d’un mélange de ces armoises et d’autres plantes aromatiques.
Au xixe siècle, l’absinthe était surnommée la « fée verte ».
Interdite en France en 1915 en raison de ses effets nocifs, l’absinthe est aujourd’hui commercialisée sous une forme chimiquement modifiée.",2026-06-04T04:01:31.839Z
